age_group | category | category_l1 | category_l2 | category_l3 | count
Từ 1Y | ColosGold | Sữa nước | Sữa bột pha sẵn | Vinamilk | 3
Không xác định | Bộ đông bé gái dài | Thời trang | Thời trang đông | Bộ đông | 20
1Y-6Y | Enfa A2 Step 3 | Sữa | Enfa | Enfa A2 | 1
0-6M | NAN Nga Step 1 | Sữa | Nestle | NAN Nga | 1
Không xác định | Bodysuit đông vải dày | Thời trang | Thời trang đông | Bodysuit đông | 7
6M-12M | Dielac Step 2 | Sữa | Vinamilk | Dielac | 1
Không xác định | Dép sục người lớn | Phụ kiện | Cơ cấu hàng cũ | Giày dép tồn | 34
Không xác định | Núm ty ConCung Good | Babycare | "Bình sữa |  phụ kiện" | "Bình sữa |  phụ kiện ngừng bán" | 1
Không xác định | Dụng cụ ăn uống ngừng bán | Babycare | Đồ dùng ăn uống | Dụng cụ ăn uống | 29
Từ 3Y | Bộ bé gái Animo | Thời trang | Thời trang bé gái | Bộ bé gái | 12
6M-6Y | Bộ bé gái Animo | Thời trang | Thời trang bé gái | Bộ bé gái | 20
Không xác định | Tắm gội toàn thân Aveeno | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Tắm gội cho bé | 1
0-24M | Giày tập đi 165k S14 | Phụ kiện | Giày tập đi | Giày tập đi 149k | 7
Từ 6M | Sữa đêm Fruto | Sữa nước | Sữa có vị | Fruto | 3
1Y-3Y | Dép sục S23 | Phụ kiện | Giày dép 1-3Y | Dép sục | 1
Từ 3Y | Búp bê | Đồ chơi & Sách | 1Y+ | Nhập vai | 23
Không xác định | Sữa tắm Dettol | Hóa mỹ phẩm gia đình | Chăm sóc cơ thể | Sữa tắm | 4
Từ 9M | Núm ty Dr Brown | Babycare | "Bình sữa |  phụ kiện" | Núm ty | 2
Từ 1Y | Thuyền Xưa | Thực phẩm cho bé | Dầu ăn & Gia vị | Nước tương | 1
1Y-3Y | Bubs Organic step 3 | Sữa | Bubs | Bubs Organic | 1
Không xác định | Kem chống nắng Skin Aqua | Hóa mỹ phẩm gia đình | Chăm sóc da | Kem chống nắng | 3
Không xác định | Life Space | TPCN | TPCN cho mẹ | Men vi sinh | 1
Không xác định | "Gạc |  rơ lưỡi Dr Papie" | Babycare | Đồ dùng vệ sinh | "Gạc |  rơ lưỡi" | 1
Từ 3Y | Dụng cụ bảo vệ an toàn | Babycare | Chăm sóc gia đình | Đồ dùng gia đình | 2
2Y-6Y | NAN Step 4 | Sữa | Nestle | NAN | 6
Từ 0M | Dưỡng da Natural Botanical | Hóa mỹ phẩm cho bé | Chăm sóc da bé | Dưỡng da | 1
Không xác định | Kem đánh răng Closeup | Hóa mỹ phẩm gia đình | Chăm sóc răng miệng | Kem đánh răng | 3
Không xác định | Kiwigarden | Thực phẩm cho bé | Snack ăn dặm | Sữa chua khô | 6
Không xác định | M'Smarty | TPCN | TPCN cho bé | Vitamin D | 2
Không xác định | Hubba Bubba | Thực phẩm cho gia đình | Kẹo | Kẹo Gum | 5
Từ 6M | Bodysuit | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 63
6M-18M | Giày tập đi 165k S14 | Phụ kiện | Giày tập đi | Giày tập đi 149k | 1
0-3M | Quần sơ sinh Animo | Thời trang | Quần áo & Phụ kiện sơ sinh | Quần | 24
Không xác định | Xe đẩy Cool Baby | Babycare | Đồ dùng ra ngoài | Xe đẩy | 1
Từ 1Y | Kem đánh răng Kindee | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Kem đánh răng | 2
0-24M | Nước giặt Omo | Hóa mỹ phẩm cho bé | Giặt xả cho bé | Giặt cho bé | 2
Không xác định | Boost Optimum | Sữa | Nestle | Boost | 1
Không xác định | Nước xả D-Nee | Hóa mỹ phẩm cho bé | Giặt xả cho bé | Xả vải cho bé | 1
